dep;jour;hosp;rea;dc;rad
69;26/04/2020;18;0;7;12
70;26/04/2020;2;0;1;0
71;26/04/2020;5;1;2;2
72;26/04/2020;5;1;0;0
73;26/04/2020;2;0;0;3
74;26/04/2020;7;0;2;5
75;26/04/2020;51;5;21;41
76;26/04/2020;6;3;5;11
77;26/04/2020;16;5;7;23
78;26/04/2020;15;4;1;6
79;26/04/2020;2;1;0;0
80;26/04/2020;7;4;2;0
81;26/04/2020;0;0;0;0
82;26/04/2020;0;0;0;0
83;26/04/2020;1;1;1;2
84;26/04/2020;3;1;0;0
85;26/04/2020;0;0;0;0
86;26/04/2020;0;0;0;0
87;26/04/2020;0;0;0;0
88;26/04/2020;3;0;1;0
89;26/04/2020;2;0;2;2
90;26/04/2020;3;0;1;1
91;26/04/2020;3;1;2;4
92;26/04/2020;25;8;10;31
93;26/04/2020;28;2;5;24
94;26/04/2020;26;2;11;9
95;26/04/2020;11;1;5;10
971;26/04/2020;1;1;0;0
972;26/04/2020;0;0;0;0
973;26/04/2020;0;0;0;0
974;26/04/2020;0;0;0;1
976;26/04/2020;12;2;0;6
1;27/04/2020;4;0;0;7
2;27/04/2020;4;0;2;8
3;27/04/2020;0;0;0;1
4;27/04/2020;1;0;0;3
5;27/04/2020;0;0;0;5
6;27/04/2020;10;3;4;2
7;27/04/2020;11;0;6;2
8;27/04/2020;4;0;2;1
9;27/04/2020;0;0;0;1
10;27/04/2020;6;0;2;7
11;27/04/2020;3;1;0;0
12;27/04/2020;0;0;0;0
13;27/04/2020;57;8;15;33
14;27/04/2020;1;0;0;1
15;27/04/2020;6;0;1;0
16;27/04/2020;0;0;0;0
17;27/04/2020;4;1;1;0
18;27/04/2020;6;0;4;1
19;27/04/2020;7;1;1;2
21;27/04/2020;17;3;6;9
22;27/04/2020;2;0;0;0
23;27/04/2020;0;0;0;0
24;27/04/2020;1;0;0;0
25;27/04/2020;4;0;2;2
26;27/04/2020;5;2;1;5
27;27/04/2020;3;0;2;4
28;27/04/2020;10;0;2;11
29;27/04/2020;0;0;0;1
2A;27/04/2020;0;0;0;0
2B;27/04/2020;0;0;0;0
30;27/04/2020;12;2;6;4
31;27/04/2020;5;1;0;0
32;27/04/2020;4;0;1;1
33;27/04/2020;15;0;2;8
34;27/04/2020;5;1;1;2
35;27/04/2020;0;0;1;0
36;27/04/2020;3;1;2;0
37;27/04/2020;2;1;1;1
38;27/04/2020;7;0;2;2
39;27/04/2020;2;2;1;2
40;27/04/2020;0;0;0;1
41;27/04/2020;8;0;2;2
42;27/04/2020;11;0;2;5
43;27/04/2020;0;0;0;0
44;27/04/2020;12;0;3;15
45;27/04/2020;10;3;1;3
46;27/04/2020;1;0;1;2
47;27/04/2020;1;0;0;0
48;27/04/2020;0;0;0;0
49;27/04/2020;13;1;2;3
50;27/04/2020;1;0;0;1
51;27/04/2020;7;0;7;6
52;27/04/2020;0;0;1;0
53;27/04/2020;4;1;1;2
54;27/04/2020;16;2;1;14
55;27/04/2020;3;0;2;5
56;27/04/2020;2;1;0;1
57;27/04/2020;29;1;9;26
58;27/04/2020;0;0;0;1
59;27/04/2020;10;3;5;14
60;27/04/2020;14;0;8;18
61;27/04/2020;3;0;1;0
62;27/04/2020;47;7;6;31
63;27/04/2020;1;0;1;1
64;27/04/2020;2;0;1;1
65;27/04/2020;0;0;0;2
66;27/04/2020;1;0;1;1
67;27/04/2020;39;8;7;19
68;27/04/2020;38;6;8;25
69;27/04/2020;24;6;13;30
70;27/04/2020;1;0;0;13
71;27/04/2020;16;1;5;3
72;27/04/2020;5;0;2;10
73;27/04/2020;4;0;0;4
74;27/04/2020;9;0;3;9
75;27/04/2020;52;17;21;73
76;27/04/2020;3;2;2;4
77;27/04/2020;22;3;10;17
78;27/04/2020;16;2;7;14
79;27/04/2020;1;0;1;1
80;27/04/2020;9;0;4;2
81;27/04/2020;4;0;1;2
82;27/04/2020;4;1;1;1
83;27/04/2020;31;2;5;38
84;27/04/2020;9;3;1;0
85;27/04/2020;4;0;1;2
86;27/04/2020;5;0;1;2
87;27/04/2020;1;0;0;3
88;27/04/2020;2;0;3;2
89;27/04/2020;2;0;1;1
90;27/04/2020;0;0;2;1
91;27/04/2020;27;2;9;28
92;27/04/2020;69;12;17;63
93;27/04/2020;97;9;21;44
94;27/04/2020;28;4;22;27
95;27/04/2020;18;1;8;13
971;27/04/2020;1;0;1;0
972;27/04/2020;0;0;0;0
973;27/04/2020;0;0;0;0
974;27/04/2020;0;0;0;0
976;27/04/2020;6;0;0;4
1;28/04/2020;4;0;3;4
2;28/04/2020;29;3;5;20
3;28/04/2020;1;0;1;4
4;28/04/2020;2;0;0;2
5;28/04/2020;0;0;0;1
6;28/04/2020;14;4;2;14
7;28/04/2020;51;2;2;6
8;28/04/2020;1;0;0;0
9;28/04/2020;0;0;0;0
10;28/04/2020;29;5;1;22
11;28/04/2020;8;2;1;7
12;28/04/2020;0;0;0;3
13;28/04/2020;54;7;11;76
14;28/04/2020;7;1;2;7
15;28/04/2020;3;0;0;2
16;28/04/2020;0;0;1;0
17;28/04/2020;0;0;0;3
18;28/04/2020;6;0;1;10
19;28/04/2020;1;0;1;1
21;28/04/2020;6;1;2;7
22;28/04/2020;1;0;0;3
23;28/04/2020;2;0;0;0
24;28/04/2020;0;0;0;3
25;28/04/2020;6;3;1;5
26;28/04/2020;4;0;1;12
27;28/04/2020;0;0;0;2
28;28/04/2020;2;1;0;11
29;28/04/2020;0;0;1;3
2A;28/04/2020;1;0;0;5
2B;28/04/2020;4;1;0;2
30;28/04/2020;4;3;1;7
31;28/04/2020;5;0;2;17
32;28/04/2020;0;0;1;0
33;28/04/2020;14;1;2;21
34;28/04/2020;7;0;2;8
35;28/04/2020;6;0;3;9
36;28/04/2020;2;1;1;0
37;28/04/2020;14;0;1;7
38;28/04/2020;12;1;4;22
39;28/04/2020;3;2;0;13
40;28/04/2020;0;0;0;3
41;28/04/2020;2;0;4;9
42;28/04/2020;8;0;7;15
43;28/04/2020;4;0;0;4
44;28/04/2020;6;0;2;11
45;28/04/2020;11;4;2;17
46;28/04/2020;3;0;1;5
47;28/04/2020;0;0;0;1
48;28/04/2020;0;0;0;1
49;28/04/2020;9;0;2;13
50;28/04/2020;4;2;2;2
51;28/04/2020;19;1;3;15
52;28/04/2020;4;1;1;2
53;28/04/2020;3;0;1;4
54;28/04/2020;23;4;9;9
55;28/04/2020;5;0;0;7
56;28/04/2020;14;1;1;8
57;28/04/2020;27;7;9;43
58;28/04/2020;1;1;0;2
59;28/04/2020;53;5;8;45
60;28/04/2020;22;1;6;28
61;28/04/2020;5;0;0;1
62;28/04/2020;17;3;2;27
63;28/04/2020;0;0;0;3
64;28/04/2020;3;0;2;7
65;28/04/2020;3;0;1;4
66;28/04/2020;3;0;1;4
67;28/04/2020;31;1;10;37
68;28/04/2020;33;3;6;61
69;28/04/2020;46;2;10;75
70;28/04/2020;3;0;0;6
71;28/04/2020;31;2;3;14
72;28/04/2020;5;0;3;7
73;28/04/2020;6;2;0;11
74;28/04/2020;15;1;4;14
75;28/04/2020;85;13;35;101
76;28/04/2020;27;4;6;16
77;28/04/2020;39;4;13;41
78;28/04/2020;58;2;14;32
79;28/04/2020;1;0;0;0
80;28/04/2020;9;0;3;17
81;28/04/2020;3;1;0;2
82;28/04/2020;0;0;0;0
83;28/04/2020;16;6;2;18
84;28/04/2020;3;2;0;6
85;28/04/2020;0;0;0;5
86;28/04/2020;3;1;1;0
87;28/04/2020;0;0;0;2
88;28/04/2020;18;2;4;17
89;28/04/2020;6;1;1;5
90;28/04/2020;0;0;0;0
91;28/04/2020;44;10;9;56
92;28/04/2020;89;4;30;84
93;28/04/2020;79;16;20;96
94;28/04/2020;64;4;19;100
95;28/04/2020;46;4;18;27
971;28/04/2020;0;0;0;0
972;28/04/2020;0;0;0;1
973;28/04/2020;0;0;0;0
974;28/04/2020;1;0;0;1
976;28/04/2020;8;0;0;10
1;29/04/2020;14;0;1;11
2;29/04/2020;16;4;5;18
3;29/04/2020;0;2;1;4
4;29/04/2020;1;1;0;1
5;29/04/2020;0;0;2;0
6;29/04/2020;11;7;0;11
7;29/04/2020;3;1;1;4
8;29/04/2020;4;0;0;7
9;29/04/2020;0;0;0;0
10;29/04/2020;26;4;3;27
11;29/04/2020;0;0;0;2
12;29/04/2020;0;0;1;2
13;29/04/2020;62;8;8;51
14;29/04/2020;10;0;2;11
15;29/04/2020;0;0;0;0
16;29/04/2020;0;0;0;0
17;29/04/2020;0;0;0;1
18;29/04/2020;10;0;3;2
19;29/04/2020;3;2;2;2
21;29/04/2020;13;1;2;13
22;29/04/2020;1;0;1;3
23;29/04/2020;3;0;0;2
24;29/04/2020;2;0;0;5
25;29/04/2020;3;1;0;15
26;29/04/2020;2;0;4;10
27;29/04/2020;4;0;0;0
28;29/04/2020;10;0;2;4
29;29/04/2020;0;0;0;2
2A;29/04/2020;1;0;0;5
2B;29/04/2020;1;0;0;2
30;29/04/2020;8;2;1;2
31;29/04/2020;7;1;1;13
32;29/04/2020;0;0;0;1
33;29/04/2020;7;0;2;14
34;29/04/2020;2;0;2;9
35;29/04/2020;4;0;0;5
36;29/04/2020;6;0;0;5
37;29/04/2020;6;0;0;8
38;29/04/2020;7;1;1;18
39;29/04/2020;2;0;0;3
40;29/04/2020;0;0;0;3
41;29/04/2020;15;2;0;6
42;29/04/2020;7;1;1;11
43;29/04/2020;1;0;1;3
44;29/04/2020;9;2;3;13
45;29/04/2020;3;1;3;12
46;29/04/2020;0;0;0;3
47;29/04/2020;3;0;0;3
48;29/04/2020;0;0;1;0
49;29/04/2020;7;0;0;12
50;29/04/2020;3;0;2;2
51;29/04/2020;8;1;0;9
52;29/04/2020;2;0;1;2
53;29/04/2020;3;0;0;3
54;29/04/2020;20;0;20;69
55;29/04/2020;8;0;2;4
56;29/04/2020;4;2;1;4
57;29/04/2020;35;1;8;63
58;29/04/2020;3;0;0;2
59;29/04/2020;17;0;6;39
60;29/04/2020;7;2;2;10
61;29/04/2020;1;0;0;3
62;29/04/2020;21;0;5;24
63;29/04/2020;0;0;0;1
64;29/04/2020;2;0;0;10
65;29/04/2020;1;0;0;1
66;29/04/2020;3;0;1;2
67;29/04/2020;35;4;6;48
68;29/04/2020;27;3;4;49
69;29/04/2020;33;3;11;40
70;29/04/2020;2;0;2;3
71;29/04/2020;30;0;3;17
72;29/04/2020;4;0;2;9
73;29/04/2020;1;0;0;5
74;29/04/2020;12;1;3;19
75;29/04/2020;104;12;26;153
76;29/04/2020;3;0;5;20
77;29/04/2020;61;5;15;56
78;29/04/2020;19;0;3;21
79;29/04/2020;0;0;1;0
80;29/04/2020;3;1;0;17
81;29/04/2020;1;0;0;1
82;29/04/2020;0;0;0;1
83;29/04/2020;36;0;2;60
84;29/04/2020;4;0;0;4
85;29/04/2020;1;0;0;2
86;29/04/2020;3;1;0;3
87;29/04/2020;0;0;1;1
88;29/04/2020;6;0;2;5
89;29/04/2020;7;3;4;4
90;29/04/2020;11;2;2;14
91;29/04/2020;65;4;8;54
92;29/04/2020;43;11;15;76
93;29/04/2020;42;8;12;46
94;29/04/2020;60;4;12;51
95;29/04/2020;21;0;10;37
971;29/04/2020;1;1;0;2
972;29/04/2020;0;0;0;0
973;29/04/2020;0;0;0;0
974;29/04/2020;3;0;0;5
976;29/04/2020;0;0;0;0
1;30/04/2020;8;2;1;8
2;30/04/2020;16;1;1;17
3;30/04/2020;2;0;0;3
4;30/04/2020;2;0;0;1
5;30/04/2020;3;0;0;0
6;30/04/2020;4;2;5;15
7;30/04/2020;28;1;1;25
8;30/04/2020;0;0;0;1
9;30/04/2020;0;0;0;0
10;30/04/2020;16;3;2;10
11;30/04/2020;7;0;2;11
12;30/04/2020;1;0;1;4
13;30/04/2020;29;6;9;63
14;30/04/2020;1;0;1;2
15;30/04/2020;0;1;0;0
16;30/04/2020;0;0;0;4
17;30/04/2020;2;1;2;6
18;30/04/2020;3;0;0;5
19;30/04/2020;7;1;2;0
21;30/04/2020;17;4;1;14
22;30/04/2020;4;0;0;2
23;30/04/2020;2;0;0;12
24;30/04/2020;0;0;0;3
25;30/04/2020;6;2;2;11
26;30/04/2020;3;0;3;12
27;30/04/2020;7;0;1;7
28;30/04/2020;9;0;2;12
29;30/04/2020;0;0;0;0
2A;30/04/2020;2;0;0;3
2B;30/04/2020;1;0;0;0
30;30/04/2020;7;2;4;3
31;30/04/2020;2;1;2;6
32;30/04/2020;0;0;0;1
33;30/04/2020;8;0;4;18
34;30/04/2020;8;1;1;4
35;30/04/2020;3;0;0;3
36;30/04/2020;4;0;0;0
37;30/04/2020;7;0;0;4
38;30/04/2020;6;0;4;29
39;30/04/2020;10;0;2;4
40;30/04/2020;8;0;0;4
41;30/04/2020;23;2;3;10
42;30/04/2020;14;2;1;18
43;30/04/2020;1;0;1;1
44;30/04/2020;5;0;1;12
45;30/04/2020;13;4;0;8
46;30/04/2020;1;0;0;4
47;30/04/2020;1;0;2;1
48;30/04/2020;0;0;0;0
49;30/04/2020;6;0;1;7
50;30/04/2020;3;0;0;1
51;30/04/2020;12;1;2;17
52;30/04/2020;1;0;0;6
53;30/04/2020;7;0;3;3
54;30/04/2020;16;4;2;20
55;30/04/2020;10;0;0;1
56;30/04/2020;7;0;2;10
57;30/04/2020;24;5;8;69
58;30/04/2020;1;0;0;0
59;30/04/2020;33;5;8;36
60;30/04/2020;3;3;4;14
61;30/04/2020;5;0;0;3
62;30/04/2020;45;7;4;51
63;30/04/2020;5;1;2;3
64;30/04/2020;0;0;0;1
65;30/04/2020;1;1;0;3
66;30/04/2020;0;0;2;2
67;30/04/2020;23;2;6;33
68;30/04/2020;43;1;9;40
69;30/04/2020;40;4;12;25
70;30/04/2020;2;0;0;1
71;30/04/2020;28;2;1;24
72;30/04/2020;3;0;0;9
73;30/04/2020;3;0;1;6
74;30/04/2020;10;1;0;9
75;30/04/2020;75;12;21;104
76;30/04/2020;7;0;2;2
77;30/04/2020;45;12;4;35
78;30/04/2020;30;2;3;50
79;30/04/2020;1;0;1;5
80;30/04/2020;7;1;2;8
81;30/04/2020;6;0;0;0
82;30/04/2020;0;0;0;0
83;30/04/2020;19;0;0;24
84;30/04/2020;3;0;0;5
85;30/04/2020;0;0;0;3
86;30/04/2020;3;0;0;4
87;30/04/2020;1;0;0;4
88;30/04/2020;13;0;0;18
89;30/04/2020;3;1;0;2
90;30/04/2020;5;0;0;7
91;30/04/2020;57;2;11;41
92;30/04/2020;55;11;10;74
93;30/04/2020;21;4;5;39
94;30/04/2020;39;2;13;71
95;30/04/2020;17;0;5;33
971;30/04/2020;0;0;2;0
972;30/04/2020;2;1;0;13
973;30/04/2020;0;0;0;1
974;30/04/2020;0;0;0;0
976;30/04/2020;7;0;0;9
1;01/05/2020;4;0;1;5
2;01/05/2020;6;0;2;11
3;01/05/2020;2;0;1;1
4;01/05/2020;0;0;1;0
5;01/05/2020;1;0;0;0
6;01/05/2020;6;1;1;14
7;01/05/2020;9;0;1;8
8;01/05/2020;3;0;2;0
9;01/05/2020;0;0;0;3
10;01/05/2020;19;0;1;18
11;01/05/2020;5;0;0;1
12;01/05/2020;0;0;0;5
13;01/05/2020;32;1;6;32
14;01/05/2020;6;1;0;5
15;01/05/2020;0;0;0;0
16;01/05/2020;1;0;0;0
17;01/05/2020;0;0;0;1
18;01/05/2020;2;0;0;2
19;01/05/2020;0;0;0;0
21;01/05/2020;10;0;0;22
22;01/05/2020;2;0;0;5
23;01/05/2020;0;1;0;2
24;01/05/2020;0;0;0;0
25;01/05/2020;0;1;0;5
26;01/05/2020;1;0;0;5
27;01/05/2020;3;0;0;0
28;01/05/2020;5;1;3;2
29;01/05/2020;0;0;0;5
2A;01/05/2020;3;0;0;1
2B;01/05/2020;0;0;0;0
30;01/05/2020;0;0;0;0
31;01/05/2020;7;0;0;9
32;01/05/2020;0;0;0;3
33;01/05/2020;5;1;0;14
34;01/05/2020;1;0;0;7
35;01/05/2020;2;0;0;10
36;01/05/2020;3;0;1;1
37;01/05/2020;5;2;1;3
38;01/05/2020;7;0;0;8
39;01/05/2020;0;0;0;2
40;01/05/2020;0;0;0;0
41;01/05/2020;4;2;1;2
42;01/05/2020;12;2;2;14
43;01/05/2020;0;0;0;0
44;01/05/2020;8;0;1;11
45;01/05/2020;14;1;1;5
46;01/05/2020;3;0;0;0
47;01/05/2020;0;0;0;0
48;01/05/2020;3;0;0;3
49;01/05/2020;2;0;1;9
50;01/05/2020;2;0;0;0
51;01/05/2020;9;3;1;8
52;01/05/2020;2;1;0;0
53;01/05/2020;0;0;0;3
54;01/05/2020;19;2;4;13
55;01/05/2020;4;0;0;2
56;01/05/2020;2;0;0;3
57;01/05/2020;20;2;13;39
58;01/05/2020;0;0;0;1
59;01/05/2020;24;2;6;21
60;01/05/2020;6;1;4;8
61;01/05/2020;1;0;0;3
62;01/05/2020;22;0;3;18
63;01/05/2020;1;0;0;2
64;01/05/2020;0;0;0;5
65;01/05/2020;0;0;0;4
66;01/05/2020;1;0;0;2
67;01/05/2020;21;4;15;37
68;01/05/2020;20;2;2;36
69;01/05/2020;47;10;9;42
70;01/05/2020;0;0;0;1
71;01/05/2020;5;0;0;12
72;01/05/2020;11;0;0;3
73;01/05/2020;2;0;2;4
74;01/05/2020;7;0;1;6
75;01/05/2020;43;6;5;76
76;01/05/2020;4;0;1;14
77;01/05/2020;22;0;6;17
78;01/05/2020;20;1;3;24
79;01/05/2020;0;0;0;2
80;01/05/2020;3;1;1;12
81;01/05/2020;0;1;0;9
82;01/05/2020;0;0;0;0
83;01/05/2020;7;2;0;8
84;01/05/2020;4;0;0;2
85;01/05/2020;2;0;0;1
86;01/05/2020;1;0;0;1
87;01/05/2020;0;0;0;0
88;01/05/2020;4;1;0;4
89;01/05/2020;4;0;3;8
90;01/05/2020;5;0;2;5
91;01/05/2020;12;1;3;24
92;01/05/2020;27;8;2;50
93;01/05/2020;24;4;8;19
94;01/05/2020;34;4;8;23
95;01/05/2020;22;1;6;28
971;01/05/2020;0;0;1;0
972;01/05/2020;0;0;0;0
973;01/05/2020;2;0;0;0
974;01/05/2020;0;0;0;0
976;01/05/2020;6;2;2;8
1;02/05/2020;1;1;0;0
2;02/05/2020;7;0;0;3
3;02/05/2020;2;0;0;1
4;02/05/2020;0;0;0;0
5;02/05/2020;2;0;0;0
6;02/05/2020;0;0;1;24
7;02/05/2020;2;0;0;3
8;02/05/2020;2;0;0;0
9;02/05/2020;0;0;0;0
10;02/05/2020;13;2;0;3
11;02/05/2020;1;0;0;1
12;02/05/2020;0;0;0;4
13;02/05/2020;34;0;2;12
14;02/05/2020;4;0;2;1
15;02/05/2020;1;0;0;0
16;02/05/2020;0;0;0;0
17;02/05/2020;1;0;0;2
18;02/05/2020;0;0;0;1
19;02/05/2020;0;0;0;0
21;02/05/2020;4;1;0;0
22;02/05/2020;9;0;1;1
23;02/05/2020;0;0;0;0
24;02/05/2020;0;0;0;0
25;02/05/2020;8;3;0;5
26;02/05/2020;1;0;0;1
27;02/05/2020;0;0;0;0
28;02/05/2020;7;1;1;3
29;02/05/2020;1;0;0;0
2A;02/05/2020;0;0;0;0
2B;02/05/2020;0;0;0;2
30;02/05/2020;1;0;0;0
31;02/05/2020;4;2;2;3
32;02/05/2020;0;0;0;0
33;02/05/2020;3;0;1;3
34;02/05/2020;1;0;3;0
35;02/05/2020;2;1;2;5
36;02/05/2020;2;0;0;0
37;02/05/2020;3;0;0;3
38;02/05/2020;1;0;0;1
39;02/05/2020;0;0;0;0
40;02/05/2020;0;0;0;0
41;02/05/2020;4;0;1;1
42;02/05/2020;3;1;2;1
43;02/05/2020;0;0;0;0
44;02/05/2020;3;1;2;2
45;02/05/2020;2;0;0;1
46;02/05/2020;8;0;9;0
47;02/05/2020;0;0;0;0
48;02/05/2020;0;0;0;0
49;02/05/2020;1;1;1;1
50;02/05/2020;1;0;0;2
51;02/05/2020;10;3;1;6
52;02/05/2020;1;0;0;6
53;02/05/2020;2;0;2;0
54;02/05/2020;6;2;0;4
55;02/05/2020;2;0;1;2
56;02/05/2020;3;1;1;4
57;02/05/2020;33;3;5;26
58;02/05/2020;0;0;1;0
59;02/05/2020;23;0;2;3
60;02/05/2020;5;0;0;2
61;02/05/2020;2;0;0;0
62;02/05/2020;7;2;3;3
63;02/05/2020;2;1;1;5
64;02/05/2020;0;0;0;0
65;02/05/2020;1;0;0;0
66;02/05/2020;0;0;0;0
67;02/05/2020;11;0;10;11
68;02/05/2020;12;4;4;21
69;02/05/2020;24;6;5;10
70;02/05/2020;0;0;1;0
71;02/05/2020;1;0;1;0
72;02/05/2020;2;1;0;0
73;02/05/2020;0;0;1;0
74;02/05/2020;6;0;0;6
75;02/05/2020;32;6;15;64
76;02/05/2020;1;0;1;2
77;02/05/2020;19;4;6;18
78;02/05/2020;21;1;1;10
79;02/05/2020;1;0;2;0
80;02/05/2020;2;0;1;6
81;02/05/2020;1;0;1;0
82;02/05/2020;0;0;0;0
83;02/05/2020;1;0;1;0
84;02/05/2020;4;0;0;6
85;02/05/2020;3;0;0;0
86;02/05/2020;0;0;0;0
87;02/05/2020;0;0;0;0
88;02/05/2020;2;0;1;3
89;02/05/2020;3;0;2;3
90;02/05/2020;1;0;2;1
91;02/05/2020;8;1;0;3
92;02/05/2020;18;3;6;13
93;02/05/2020;15;2;1;22
94;02/05/2020;20;8;6;24
95;02/05/2020;5;0;5;5
971;02/05/2020;0;0;0;0
972;02/05/2020;0;0;0;0
973;02/05/2020;0;0;0;0
974;02/05/2020;2;1;0;1
976;02/05/2020;2;1;0;1
1;03/05/2020;1;0;0;0
2;03/05/2020;1;0;4;0
3;03/05/2020;0;0;0;0
4;03/05/2020;0;0;0;0
5;03/05/2020;0;0;0;0
6;03/05/2020;6;0;0;2
7;03/05/2020;0;0;2;0
8;03/05/2020;2;2;1;0
9;03/05/2020;0;0;0;0
10;03/05/2020;14;5;0;20
11;03/05/2020;5;0;0;0
12;03/05/2020;0;0;0;0
13;03/05/2020;21;4;5;11
14;03/05/2020;1;0;0;0
15;03/05/2020;0;0;0;0
16;03/05/2020;0;0;1;1
17;03/05/2020;0;0;0;0
18;03/05/2020;2;0;0;0
19;03/05/2020;4;1;0;6
21;03/05/2020;0;0;2;0
22;03/05/2020;0;0;0;0
23;03/05/2020;2;0;0;1
24;03/05/2020;0;0;0;0
25;03/05/2020;0;0;0;1
26;03/05/2020;0;0;0;1
27;03/05/2020;1;0;0;0
28;03/05/2020;0;0;3;1
29;03/05/2020;0;0;0;1
2A;03/05/2020;0;0;1;0
2B;03/05/2020;0;0;0;0
30;03/05/2020;0;0;0;0
31;03/05/2020;3;0;0;0
32;03/05/2020;1;0;0;0
33;03/05/2020;10;2;1;3
34;03/05/2020;0;0;0;0
35;03/05/2020;3;0;2;3
36;03/05/2020;2;0;0;1
37;03/05/2020;3;0;0;0
38;03/05/2020;5;0;1;0
39;03/05/2020;0;0;0;0
40;03/05/2020;0;0;0;0
41;03/05/2020;4;1;0;0
42;03/05/2020;4;0;1;1
43;03/05/2020;0;0;0;0
44;03/05/2020;5;1;1;3
45;03/05/2020;4;2;1;1
46;03/05/2020;0;0;0;0
47;03/05/2020;0;0;0;0
48;03/05/2020;1;0;0;0
49;03/05/2020;3;1;0;1
50;03/05/2020;2;0;1;1
51;03/05/2020;8;2;2;0
52;03/05/2020;3;0;0;1
53;03/05/2020;0;0;0;0
54;03/05/2020;1;1;3;3
55;03/05/2020;4;0;0;0
56;03/05/2020;3;0;1;3
57;03/05/2020;18;4;3;7
58;03/05/2020;0;0;0;0
59;03/05/2020;13;5;1;4
60;03/05/2020;7;0;4;14
61;03/05/2020;1;0;0;1
62;03/05/2020;2;0;2;2
63;03/05/2020;4;2;0;1
64;03/05/2020;1;1;0;0
65;03/05/2020;0;0;1;0
66;03/05/2020;1;0;0;2
67;03/05/2020;3;0;2;10
68;03/05/2020;9;2;4;8
69;03/05/2020;12;2;4;4
70;03/05/2020;0;0;1;0
71;03/05/2020;6;3;3;3
72;03/05/2020;3;0;2;1
73;03/05/2020;1;0;0;0
74;03/05/2020;4;0;3;5
75;03/05/2020;24;15;8;27
76;03/05/2020;0;0;0;0
77;03/05/2020;4;0;4;8
78;03/05/2020;6;2;1;2
79;03/05/2020;0;0;0;0
80;03/05/2020;3;0;3;1
81;03/05/2020;0;0;0;0
82;03/05/2020;0;0;0;0
83;03/05/2020;1;1;0;2
84;03/05/2020;4;0;1;3
85;03/05/2020;3;3;0;0
86;03/05/2020;0;0;0;0
87;03/05/2020;1;0;0;1
88;03/05/2020;2;1;2;14
89;03/05/2020;6;0;0;0
90;03/05/2020;1;0;0;0
91;03/05/2020;11;4;3;2
92;03/05/2020;26;4;10;14
93;03/05/2020;11;3;2;12
94;03/05/2020;15;5;3;23
95;03/05/2020;5;0;1;6
971;03/05/2020;0;0;0;0
972;03/05/2020;0;0;0;0
973;03/05/2020;0;0;0;0
974;03/05/2020;0;0;0;1
976;03/05/2020;8;1;0;1
1;04/05/2020;2;0;0;2
2;04/05/2020;11;0;5;8
3;04/05/2020;1;0;0;0
4;04/05/2020;0;0;0;1
5;04/05/2020;0;0;0;0
6;04/05/2020;19;2;10;4
7;04/05/2020;4;1;2;6
8;04/05/2020;0;0;1;1
9;04/05/2020;0;0;0;0
10;04/05/2020;4;0;1;0
11;04/05/2020;2;0;1;4
12;04/05/2020;0;0;0;0
13;04/05/2020;33;4;8;48
14;04/05/2020;4;0;1;1
15;04/05/2020;1;0;2;2
16;04/05/2020;1;1;0;0
17;04/05/2020;0;0;0;1
18;04/05/2020;2;1;0;3
19;04/05/2020;2;0;0;1
21;04/05/2020;3;0;0;3
22;04/05/2020;4;0;0;4
23;04/05/2020;0;0;0;4
24;04/05/2020;1;0;0;0
25;04/05/2020;4;1;3;2
26;04/05/2020;2;1;1;0
27;04/05/2020;9;1;5;11
28;04/05/2020;4;0;1;2
29;04/05/2020;0;0;1;0
2A;04/05/2020;0;0;0;0
2B;04/05/2020;1;0;0;2
30;04/05/2020;2;1;9;14
31;04/05/2020;4;0;1;3
32;04/05/2020;8;0;2;1
33;04/05/2020;8;1;4;3
34;04/05/2020;4;1;0;6
35;04/05/2020;3;0;1;2
36;04/05/2020;1;0;3;2
37;04/05/2020;4;1;4;0
38;04/05/2020;10;0;2;5
39;04/05/2020;6;1;2;4
40;04/05/2020;0;0;0;3
41;04/05/2020;1;0;1;6
42;04/05/2020;6;2;3;12
43;04/05/2020;1;0;0;0
44;04/05/2020;3;0;0;3
45;04/05/2020;5;0;1;5
46;04/05/2020;0;0;0;0
47;04/05/2020;0;0;1;0
48;04/05/2020;0;0;0;0
49;04/05/2020;7;0;1;5
50;04/05/2020;6;0;0;1
51;04/05/2020;6;1;4;1
52;04/05/2020;10;0;1;1
53;04/05/2020;1;0;0;2
54;04/05/2020;9;3;1;7
55;04/05/2020;3;0;2;6
56;04/05/2020;2;2;1;3
57;04/05/2020;18;3;6;30
58;04/05/2020;0;0;0;0
59;04/05/2020;27;3;3;9
60;04/05/2020;8;0;2;5
61;04/05/2020;8;0;1;1
62;04/05/2020;29;4;7;20
63;04/05/2020;1;0;0;0
64;04/05/2020;1;0;0;0
65;04/05/2020;2;0;1;0
66;04/05/2020;1;0;0;0
67;04/05/2020;13;3;5;14
68;04/05/2020;44;3;5;9
69;04/05/2020;13;1;7;25
70;04/05/2020;6;0;2;6
71;04/05/2020;4;0;3;7
72;04/05/2020;1;0;4;0
73;04/05/2020;3;0;3;2
74;04/05/2020;6;1;2;2
75;04/05/2020;41;14;24;32
76;04/05/2020;5;1;1;7
77;04/05/2020;29;2;17;23
78;04/05/2020;13;0;5;11
79;04/05/2020;0;0;0;0
80;04/05/2020;3;0;1;5
81;04/05/2020;0;0;0;1
